Date,Open,High,Low,Close
31-05-2017,510.7,514.8,502.5,504.9
01-06-2017,506.2,507.95,494.5,497.9
02-06-2017,502,503,488.05,491.6
05-06-2017,492.25,499.9,487.5,491.2
06-06-2017,492.55,496.4,488.85,490
07-06-2017,491.35,494,487.6,491.05
08-06-2017,503,510.9,497.5,498.95
09-06-2017,498.4,507.4,496.2,506.3
12-06-2017,507.55,513.95,505.5,507.35
13-06-2017,509.45,512.6,505.25,508.6
14-06-2017,508,509.6,501.35,502.85
15-06-2017,501.9,506.7,499.8,502.65
16-06-2017,504.95,507.6,501.35,502.1
19-06-2017,511,520,507.9,519.3
20-06-2017,523.95,525,521,522.2
21-06-2017,522,523.7,516,517.65
22-06-2017,520.5,522,512.1,514.55
23-06-2017,514.8,516,502.95,507.4
27-06-2017,508,513.5,503.5,510.45
28-06-2017,512,522.35,509.65,519.9
29-06-2017,523.25,536,523.25,534.7
30-06-2017,533.55,546.8,530.3,544.35
03-07-2017,544.05,552.4,541.95,549.4
04-07-2017,550.05,554.35,544.35,546.35
05-07-2017,545.9,552.35,545,549.75
06-07-2017,550,557.45,549,554.35
07-07-2017,552.1,555,550.75,553.8
10-07-2017,555,560.5,549,559.2
11-07-2017,559.25,561.95,555.25,557.05
12-07-2017,560,561.95,555,558.85
13-07-2017,564.95,565.9,560.05,563
14-07-2017,565.7,565.9,557.05,559.5
17-07-2017,561,563,557.4,558.85
18-07-2017,559,568,556.75,562.8
19-07-2017,563.4,572,563,571
20-07-2017,563,563.9,555.2,555.9
21-07-2017,556,557.6,543.85,552.6
24-07-2017,555,555,546.8,547.45
25-07-2017,549.4,554.25,548.9,553.1
26-07-2017,555.55,566.8,554.95,565.4
27-07-2017,566.3,568.65,559,561
28-07-2017,556.9,560,548.5,551.6
31-07-2017,552,570.95,552,567.55
01-08-2017,569.1,575,568.55,572
02-08-2017,574.8,575,565,567.95
03-08-2017,566.15,568.45,558,559.55
04-08-2017,559.95,579.5,559.05,575.5
07-08-2017,584,601.5,583.5,600
08-08-2017,611,624.95,605.5,615.75
09-08-2017,615.8,619.9,602.65,605
10-08-2017,602.35,614.4,598,604.55
11-08-2017,600,605,589.6,596.15
14-08-2017,609,623.35,606.6,621.25
16-08-2017,625.15,630.8,620.3,629.75
17-08-2017,631.7,636,624.2,625.85
18-08-2017,623.1,629,620.05,625.4
21-08-2017,630.05,638.55,620.15,621.95
22-08-2017,630.1,633,614.7,619.3
23-08-2017,622.5,635,616.2,633.4
24-08-2017,636,640,631,638.95
28-08-2017,639.05,642.4,632.2,636.7
29-08-2017,630.3,640.35,628.3,630.15
30-08-2017,631.25,641.25,631.25,638.65
31-08-2017,638.9,642.6,632.5,638
01-09-2017,641,651.7,639.5,649.9
04-09-2017,649.85,651.35,641.8,646.1
05-09-2017,647,654.6,646.25,651.05
06-09-2017,647,654.3,645.55,651.45
07-09-2017,655.9,656.5,650.4,654.55
08-09-2017,655,663.5,651,655.5
11-09-2017,656,662.5,653.1,661.3
12-09-2017,675,692,674,683.15
13-09-2017,681,683.55,676,679.7
14-09-2017,678.05,683.75,672.55,677.65
15-09-2017,673.1,681.45,671.75,679.3
18-09-2017,673.55,679.65,670.8,673.05
19-09-2017,670,681.5,670,676.55
20-09-2017,677.9,691.05,674.3,687.65
21-09-2017,694.8,696.55,681.5,686.85
22-09-2017,685.5,685.5,652.2,654.55
25-09-2017,654.5,654.5,623,640.15
26-09-2017,640.15,657,639.5,654.15
27-09-2017,659.8,661,643.55,648.35
28-09-2017,650.35,656.4,643.25,649.95
29-09-2017,651,656.5,648.9,651.05
03-10-2017,655.05,665,655.05,660.65
04-10-2017,657.15,662.5,654.25,658.7
05-10-2017,659,664.75,657.05,660.2
06-10-2017,664.9,693.9,664.05,691.4
09-10-2017,692.2,703.85,692,697.15
10-10-2017,699.6,703.85,685.05,690.65
11-10-2017,695,698.1,673.65,681
12-10-2017,684.95,692.6,681.35,690.85
13-10-2017,695,715.9,695,710.6
16-10-2017,712.1,719.45,711.85,715.4
17-10-2017,713.6,717.45,708.4,712.45
18-10-2017,714,717.9,707.1,709.35
19-10-2017,708.5,711.45,701.3,704.4
23-10-2017,708.2,713.5,704,711.35
24-10-2017,715,728,714.6,719.4
25-10-2017,720,726.35,710.25,717.1
26-10-2017,717,732.85,715.15,729.45
27-10-2017,730.05,734.4,723.25,726.25
30-10-2017,730,734.9,714,718.8
31-10-2017,725,729.9,697,703.65
01-11-2017,707,717.1,703.65,707.05
02-11-2017,709.7,709.7,698,706
03-11-2017,706,712.8,704.3,708.9
06-11-2017,706.5,716,699.7,708.75
07-11-2017,710,713.5,686.85,692.55
08-11-2017,694.8,700.5,685,691.8
09-11-2017,698,705,693.7,703.3
10-11-2017,702.8,707.65,695.25,701.45
13-11-2017,707,707,687,690.85
14-11-2017,690,695,681.4,685.2
15-11-2017,680.3,681.9,669.7,678.05
16-11-2017,681.2,689.9,676.6,686.65
17-11-2017,692,708.5,692,701.35
20-11-2017,699.8,706.8,690.55,700.7
21-11-2017,702.2,717.95,702.2,711.25
22-11-2017,715,716.85,706.6,711.6
23-11-2017,714,715.7,706.75,711.25
24-11-2017,711,712.8,703.85,707.75
27-11-2017,707,708.5,698.95,701.85
28-11-2017,702,711.9,697.8,704.25
29-11-2017,704,710.6,703,709.3
30-11-2017,706.55,707,691.4,695.15
01-12-2017,696,698,677.5,680.7
04-12-2017,683,692.1,681,687.7
05-12-2017,685,686.7,671.2,675.95
06-12-2017,667.9,670,660.6,668.05
07-12-2017,669,689.6,669,687.9
08-12-2017,689.9,713,685.25,696.85
11-12-2017,701.9,706.35,695.4,700
12-12-2017,700.85,708.25,686.75,689.2
13-12-2017,690,693.75,676.7,682.1
14-12-2017,684,689,671.05,685.85
15-12-2017,692.2,699.7,692,694.95
18-12-2017,693,714.5,675,704.7
19-12-2017,709,712,705.25,710.3
20-12-2017,718,718,692.65,702.55
21-12-2017,702,717.8,702,715.5
22-12-2017,717.4,717.4,707.2,710.6
26-12-2017,714,724,712.75,721.4
27-12-2017,724,728.8,717.55,721.8
28-12-2017,723,737.95,723,734.65
29-12-2017,736,744.35,730,732.45
01-01-2018,732.5,735.7,721.2,723.7
02-01-2018,723.3,730.75,715.55,729.1
03-01-2018,732.6,736.75,730.85,733.3
04-01-2018,735.5,764,731.95,760.75
05-01-2018,760,776,760,770.3
08-01-2018,775.15,780,765.1,768.95
09-01-2018,769,780.1,768,772.3
10-01-2018,772,775,762.7,771.85
11-01-2018,771.55,777.6,768.2,771.6
12-01-2018,771.2,776.45,760,771.05
15-01-2018,774,792.55,771.5,783.2
16-01-2018,782,783,760.75,766.3
17-01-2018,768.1,777.15,757,774.25
18-01-2018,777,779.75,746.65,751.85
19-01-2018,752,762,742.7,751.65
22-01-2018,753.3,756.25,747.9,752.1
23-01-2018,753.8,786.85,752.9,780.05
24-01-2018,780,780.95,754.85,763.4
25-01-2018,767,773.25,759.15,769
29-01-2018,770,790.6,770,782.75
30-01-2018,779.05,783.65,771.75,775.55
31-01-2018,732.5,747.25,702.05,705.05
01-02-2018,706.25,712.65,682.2,696.3
02-02-2018,690,692.5,666,669.7
05-02-2018,664,673.8,650.8,664.55
06-02-2018,639.05,679.25,634.4,664.95
07-02-2018,666.5,682.05,656.95,660.55
08-02-2018,660.9,676.9,654,671.35
09-02-2018,665.4,688.35,661,683.65
12-02-2018,718,718,697.8,712.5
14-02-2018,718,720.6,705.25,708.35
15-02-2018,711.8,718.4,696.05,699.85
16-02-2018,705.4,709.35,683.85,688.3
19-02-2018,690.8,692,639,648.25
20-02-2018,654,661.35,648.2,650.75
21-02-2018,655.4,655.4,633,640.55
22-02-2018,639.9,647.5,634,637.85
23-02-2018,640.1,684.35,640,677.8
26-02-2018,678.7,692,672.55,680.25
27-02-2018,683,686.75,670.1,671.85
28-02-2018,666.5,674.8,660.45,671.7
01-03-2018,671,684.8,670.7,675.3
05-03-2018,668.55,669,652.05,655.35
06-03-2018,662.95,673.5,657.2,660.5
07-03-2018,655.1,661.05,645.2,648
08-03-2018,654.55,660.4,632.4,635.2
09-03-2018,640.1,646.45,601,605.6
12-03-2018,615,626,606.6,622.7
13-03-2018,621,632.2,614.4,628.3
14-03-2018,624.8,630.3,618.4,620.45
15-03-2018,620.9,622.4,609.6,611.4
16-03-2018,612,614,594.45,600.5
19-03-2018,602,602,573.1,575.05
20-03-2018,572.5,601.2,568.55,593.3
21-03-2018,597.3,602.25,581.1,582.35
22-03-2018,582.9,587.5,572.3,580.55
23-03-2018,561,569.25,554.1,566.6
26-03-2018,567.35,588.7,561.35,582.45
27-03-2018,590,598.85,587.8,590.05
28-03-2018,580.6,583.75,565.5,570.9
02-04-2018,574.95,580.2,568.9,578.55
03-04-2018,575,585.45,569,579.5
04-04-2018,582.55,589.9,558,560.45
05-04-2018,572.35,583,569.55,581
06-04-2018,576,589.05,573,586.35
09-04-2018,588.75,595,584,586.55
10-04-2018,591.35,603.9,591.35,601.7
11-04-2018,609,610,600.5,607.7
12-04-2018,606.7,608.5,596,598.55
13-04-2018,599,604.8,592,595.3
16-04-2018,592.8,596.5,585.6,592.4
17-04-2018,594.5,604.6,592.55,595.85
18-04-2018,600.5,604.7,594.9,601.5
19-04-2018,609.7,623.9,606,620.55
20-04-2018,619.95,619.95,603.8,606.35
23-04-2018,608,610.4,600.5,605.7
24-04-2018,595,602.1,590.35,598.25
25-04-2018,596.6,598.25,585,586.2
26-04-2018,587,591.5,578,579.05
27-04-2018,580.95,594.3,580.95,589.65
30-04-2018,589,599.6,586.15,594.7
02-05-2018,596.7,596.7,573.35,575.05
03-05-2018,574.8,588,568.5,585.65
04-05-2018,586.05,589.45,579.85,581.3
07-05-2018,585.55,597.3,581.55,595.95
08-05-2018,598,603.75,590.5,596.15
09-05-2018,592.55,607.85,592.55,602.45
10-05-2018,603.85,607,591.25,593.75
11-05-2018,600,610.5,591,606.65
14-05-2018,606.55,614.35,602.1,610.1
15-05-2018,609.3,636.3,606.3,624.05
16-05-2018,627,632.5,617.2,622.05
17-05-2018,630.7,632,602.4,610.05
18-05-2018,611.1,616.8,590.25,591.5
21-05-2018,595.5,600.5,575.1,576.9
22-05-2018,577.5,583.35,570.05,577.2
23-05-2018,576.9,576.9,536.6,539.25
24-05-2018,543.05,553.85,537,548.4
25-05-2018,551.5,570.2,551.5,567.2
28-05-2018,572.9,579.25,565.2,575.6
29-05-2018,571,587.85,569.2,575.25
30-05-2018,569.3,581.45,567.7,578.1
31-05-2018,582.55,590,572.1,575.45
01-06-2018,570.9,579.2,556.55,560.35
04-06-2018,564,571.95,560.6,566.95
05-06-2018,565.25,574,561,571.95
